Index,Name,Number Tokens,Total Words,Total Kanji,Kanji 10+,Kanji 5+,Kanji 2+
0,(一般小説) [成田良悟] Fate／Strange Fake 第01巻,32389,5398,1842,691,1017,1453
1,(一般小説) [成田良悟] Fate／Strange Fake 第02巻,33581,5240,1756,686,982,1435
2,(一般小説) [榎戸洋司・GAINAX] フリクリ 第1巻,18452,3583,1482,423,666,1116
3,(一般小説) [榎戸洋司・GAINAX] フリクリ 第2巻,18684,3602,1452,416,657,1087
4,(一般小説) [榎戸洋司・GAINAX] フリクリ 第3巻,20768,4071,1555,477,729,1176
5,(一般小説)[夏海公司]ガーリーエアフォース 01,35536,6418,1883,742,1081,1535
6,(一般小説)[夏海公司]ガーリーエアフォース 02,27013,5616,1759,632,934,1368
7,(一般小説)[夏海公司]ガーリーエアフォース 03,29013,5728,1756,655,973,1383
8,(一般小説)[夏海公司]ガーリーエアフォース 04,33730,6032,1848,725,1054,1483
9,(推定3000歳の)ゾンビの哲学に救われた僕(底辺)は、クソッタレな世界をもう一度、生きることにした。,48342,6057,1820,669,1029,1443
10,0能者ミナト (メディアワークス文庫),39823,5566,1873,725,1056,1483
11,0能者ミナト＜10＞ (メディアワークス文庫),36499,4937,1732,637,926,1379
12,0能者ミナト＜11＞ (メディアワークス文庫),33317,4816,1707,606,910,1352
13,0能者ミナト＜2＞ (メディアワークス文庫),30680,4790,1730,614,914,1358
14,0能者ミナト＜3＞ (メディアワークス文庫),31685,4888,1763,618,918,1372
15,0能者ミナト＜4＞ (メディアワークス文庫),28347,4532,1618,590,844,1281
16,0能者ミナト＜5＞ (メディアワークス文庫),32334,4891,1732,612,908,1355
17,0能者ミナト＜6＞ (メディアワークス文庫),29032,4611,1667,575,861,1317
18,0能者ミナト＜7＞ (メディアワークス文庫),29491,4482,1626,592,892,1302
19,0能者ミナト＜8＞ (メディアワークス文庫),30543,4634,1663,580,882,1307
20,0能者ミナト＜9＞ (メディアワークス文庫),30796,4839,1673,614,892,1316
21,1000円から始める！アダルトせどりの教科書,5308,854,537,128,234,395
22,100回目の空の下、君とあの海で (スターツ出版文庫),40167,4306,1552,589,836,1233
23,101番目の百物語 (MF文庫J),33995,4220,1496,542,771,1186
24,101番目の百物語 2 (MF文庫J),35764,4038,1457,526,799,1151
25,101番目の百物語 3 (MF文庫J),28067,3723,1391,491,722,1084
26,101番目の百物語 4 (MF文庫J),35087,4126,1463,541,783,1170
27,101番目の百物語 5 (MF文庫J),28740,3776,1390,462,709,1077
28,101番目の百物語 6 (MF文庫J),29156,3748,1429,485,717,1095
29,101番目の百物語 7 (MF文庫J),31082,3679,1404,497,718,1083
30,101番目の百物語 8 (MF文庫J),31969,4127,1492,544,768,1178
31,1095日の夕焼けの世界 (スターツ出版文庫),31752,3621,1377,526,760,1095
32,10代のお金入門_ サラリーマン・パパの教え,28010,2508,1113,422,591,875
33,10分で心がスッと整う超・瞑想法入門　瞑想は２つの軸でうまくいく！ (株式会社ダイナビジョン),11397,2230,1029,287,450,745
34,10巻　マヌ アマーリエ　スピリチュアルメッセージ集,6839,1547,857,214,320,574
35,10年後、夜明けを待つ僕たちへ (スターツ出版文庫),40399,3675,1426,610,828,1162
36,10年後に後悔しない「最高の人生」の選び方,7128,1261,743,183,299,505
37,10年後に生き残る未来の起業法 〜やりがいと収入を両立するゆとり起業〜,6462,1129,677,165,278,485
38,10歳からの天才育児！【前半編】_ 聞いて、話して、寄り添って_. (ことだま文庫),1789,482,366,52,103,222
39,10種類の泉質から効用がわかる　この病気にはこの温泉が効く【文春e-Books】,2297,871,617,68,177,366
40,1101号室の宿敵～俺様デザイナーは、強気な隣人を独り占めして愛したい～ (夢中文庫クリスタル),43949,5430,1681,732,1036,1403
41,11巻　日蓮聖人４　大天使ミカエル３ アマーリエ　スピリチュアル・メッセージ集,7890,1633,929,215,345,631
42,12巻　マヌ２　墨子　エル・カンタラー,13089,2246,1085,296,470,798
43,12月のベロニカ (富士見ファンタジア文庫),36206,4843,1753,629,946,1417
44,12歳からの読書案内,34703,6644,1935,712,1064,1546
45,13のエロチカ (角川文庫),38266,5913,1851,716,1049,1468
46,13の毒書 I,43781,8395,2510,921,1353,1996
47,13匹目のバナナフィッシュ,13902,3261,1410,334,580,1022
48,13巻　モーリャ アマーリエ　スピリチュアルメッセージ集,10664,1847,991,253,403,699
49,14巻　聖母マリア　イエス・キリスト アマーリエ　スピリチュアルメッセージ集,14127,2132,1057,306,465,781
50,15巻　日蓮聖人 5 アマーリエ　スピリチュアルメッセージ集,10778,1890,981,274,422,695
51,15歳、終わらない3分間 (スターツ出版文庫),28438,2961,1256,450,663,984
52,16bitゲームの花嫁　僕が愛しのあいつと子作りエッチできないわけ (オシリス文庫),21252,3527,1409,416,662,1086
53,16巻　高橋信次４ アマーリエ　スピリチュアル・メッセージ集,16844,2471,1145,381,543,854
54,17巻　モーリャ　2 アマーリエ　スピリチュアルメッセージ集,21917,2921,1282,412,603,967
55,17番目のヒッグス　異次元世界の若き王 (電撃文庫),36065,5208,1709,690,975,1372
56,18巻　天上界の友人と高橋信次5 アマーリエ　スピリチュアル・メッセージ集,13411,2192,1041,287,461,769
57,19_32 世界終焉,23942,4718,1638,513,806,1245
58,19巻　高橋信次6　マヌ3 アマーリエ　スピリチュアルメッセージ集,20891,2735,1194,406,602,919
59,1パーセントの教室 (電撃文庫),31537,4559,1634,610,883,1286
60,1パーセントの教室2 (電撃文庫),35362,4718,1678,650,932,1351
61,1日1分元気になる法則 (中経出版),16334,2139,981,318,484,734
62,1日1時間で手堅く月10万円稼ぐための転売教科書,5738,1235,701,169,280,481
63,1番最初に読みたいFXの教科書 〜初心者からでも7倍稼ぎやすくなるFX投資術〜,4019,909,568,114,227,395
64,2014　日本語能力試験　N1　予想問題集 その1,5345,1676,970,173,326,626
65,2014　日本語能力試験　N1　予想問題集 その2,4849,1396,874,149,293,540
66,2014　日本語能力試験　N1　予想問題集 その3,5160,1535,897,175,324,592
67,2014　日本語能力試験　N2　予想問題集 その1,4653,1360,836,155,281,549
68,2014　日本語能力試験　N2　予想問題集 その2,4611,1402,846,140,262,548
69,2014　日本語能力試験　N2　予想問題集 その3,4971,1410,836,161,299,558
70,2014　日本語能力試験　N2　予想問題集 その4,5084,1481,885,167,308,588
71,2014　日本語能力試験　N3　予想問題集 その1,3440,1147,743,106,224,449
72,2014　日本語能力試験　N3　予想問題集 その2,3265,1135,759,110,200,443
73,2014　日本語能力試験　N3　予想問題集 その3,3493,1139,735,113,229,483
74,2014　日本語能力試験　N3　予想問題集 その4,3650,1299,831,110,236,513
75,2014文藝春秋電子書籍ベスト100【文春e-Books】,10201,3594,1476,297,563,1025
76,2015年の時事を振り返る5冊セット　全試合記者会見全文！激闘！なでしこジャパン　他,24598,3868,1373,481,727,1082
77,2015文藝春秋電子書籍ベスト100【文春e-Books】,9799,3455,1431,285,560,984
78,2016年 日本語教育の検定問題を解く_ 平成28年度 日本語教育能力検定試験 解答と解説,19275,3061,1199,402,624,953
79,2016文藝春秋電子書籍ベスト100【文春e-Books】,10386,3377,1411,308,572,983
80,2017年 日本語教育の検定問題を解く_ 平成29年度 日本語教育能力検定試験 解答と解説,18758,3060,1190,411,618,923
81,2017文藝春秋電子書籍ベスト100【文春e-Books】,13806,3754,1466,410,679,1100
82,2018年 日本語教育の検定問題を解く_ 平成30年度 日本語教育能力検定試験 解答と解説,20510,3217,1213,430,625,944
83,2018文藝春秋電子書籍ベスト100【文春e-Books】,12692,4083,1525,384,674,1137
84,2019年 日本語教育の検定問題を解く_ 令和元年度日本語教育能力検定試験 解答と解説,27153,3767,1339,503,709,1043
85,2019年版小規模企業白書,59214,4092,1291,691,871,1098
86,2020年の星占い運勢・おうし座編（4_20〜5_20生まれ）,2165,712,500,59,120,298
87,2050年　クライシス　水の惑星：ファントムプラネットミューズ,6783,1716,971,211,382,712
88,20th_ 和泉桂デビュー20周年記念本,18218,3835,1551,402,671,1166
89,20巻　エル・ランティ アマーリエ　スピリチュアル・メッセージ集,16342,2275,1050,338,497,805
90,20歳で1億円の連帯保証人になったけど返済したった (impress QuickBooks),11353,2689,1167,320,518,833
91,21世紀型ライフスタイルマニュアル,9553,1747,910,243,392,664
92,21巻　平塚らいてう アマーリエ　スピリチュアル・メッセージ集,16407,2648,1210,364,549,907
93,22世紀のプロフィール_ CはComputerのC Hassy-world Library,4921,1707,941,163,314,618
94,22巻　ジャンヌ・ダルク アマーリエ　スピリチュアル・メッセージ集,16293,2488,1151,352,519,860
95,23巻　エル・カンタラー2 アマーリエ　スピリチュアル・メッッセージ集,16748,2549,1170,366,558,883
96,2409回目の初恋 (LINE文庫),30528,3235,1342,520,737,1070
97,24巻　日蓮聖人６ アマーリエ　スピリチュアル・メッセージ集,20168,2870,1247,396,578,946
98,24時間の独占欲～次期社長が離してくれません～ (マカロン文庫),19774,3319,1390,415,644,1049
99,24歳実家暮らしでも自立する3つの方法_ これであなたも孤独感から解放されます,5636,968,600,139,233,403
100,250年前のデリバティブ_ 本間宗久と堂島米会所の米先物取引 (レトロハッカーズ),8955,2357,1125,265,439,786
101,25巻　吉田松陰 アマーリエ　スピリチュアルメッセージ集,15087,2471,1170,352,550,878
102,26巻　坂本龍馬 アマーリエ　スピリチュアルメッセージ集,13470,2253,1092,305,469,806
103,26年２か月　啄木の生涯,46471,7932,2150,846,1216,1727
104,27巻　高橋信次７ アマーリエ　スピリチュアル・メッセージ集,10286,1859,967,265,446,717
105,28巻　勝海舟 アマーリエ　スピリチュアルメッセージ集,15025,2236,1103,331,504,822
106,29巻　福沢諭吉 アマーリエ　スピリチュアルメッセージ集,10620,2125,1045,300,459,789
107,29歳独身は異世界で自由に生きた……かった。 (カドカワBOOKS),41764,6029,1906,755,1086,1515
108,29歳独身は異世界で自由に生きた……かった。2 (カドカワBOOKS),40737,5944,1876,750,1054,1489
109,2　新装版 【新装版】2 (メディアワークス文庫),58104,6031,1788,752,1046,1434
110,2時間で分かる！精神科レジデントのための心理検査の読み方_ 患者に説明できる　データが読める　当日に結果が出せる,5183,1273,764,182,310,526
111,2本のロープがつないだ絆　 ありがとうは夢を叶える魔法の言葉,16291,2726,1152,342,540,871
112,30のエピソードですっきりわかる「幕末維新」 (PHP文庫),31978,5385,1739,674,961,1388
113,30の失敗でわかる日本史 （Panda_HISTORY）,30058,5604,1684,674,940,1314
114,30ポイントで読み解く 吉田松陰『留魂録』 (PHP文庫),36441,5159,1664,710,991,1357
115,30ポイントで読み解く「禅の思想」 なぜ座るのか、どんな世界が開けるのか (PHP文庫),27042,4334,1604,524,801,1239
116,30代のおっさんが異世界に家を買う話,1723,848,619,33,98,336
117,30巻　ノストラダムス アマーリエ　スピリチュアルメッセージ集,14258,2466,1134,337,517,857
118,311 東京五輪延期 予言的中 巨大地震がくる 2039年 人類滅亡 大預言,6669,1559,856,222,353,623
119,31巻　木戸孝允 アマーリエ　スピリチュアルメッセージ集,10769,2012,1052,277,440,748
120,32巻　西郷 隆盛 アマーリエ　スピリチュアル・メッセージ集,6591,1448,879,169,315,590
121,32歳から最強運伝説！オナ禁200日×掃除で願ったものは全て叶ってしまう魔術,9321,1815,971,213,372,692
122,33巻　天御中主神・日本武尊 アマーリエ　スピリチュアルメッセージ集,14727,2443,1154,335,517,858
123,34巻　シュヴァンツェル アマーリエスピリチュアルメッセージ集,13045,2263,1085,319,483,782
124,34巻出口王仁三郎・高橋信次８ アマーリエ　スピリチュアル・メッセージ集,12514,2178,1066,301,474,800
125,34歳カードゲーマー和泉慎平　信金営業は魔法少女を狩る (NOVEL 0),42640,6441,1896,767,1090,1554
126,36巻　坂本龍馬2 アマーリエ　スピリチュアルメッセージ集,9800,1920,1026,247,402,711
127,37巻　プロティノス・谷口雅春 アマーリ　エスピリチュアル・メッセージ集,15511,2352,1102,348,496,806
128,38億年の叡智とつながる・未来を開く5秒の習慣 (共育ブックス),9580,1705,923,251,397,633
129,38巻　大天使ガブリエル アマーリエ　スピリチュアルメッセージ集,10446,1984,1004,260,410,712
130,38歳・男性・独身 わがフリーター人生、セキララ赤面日記 (PHP文庫),24201,5290,1737,576,904,1349
131,39巻　道元　キリスト アマーリエ　スピリチュアルメッセージ集,8069,1664,889,218,373,631
132,3ヶ月で合格！日本語教育能力検定試験に一発で合格した私の勉強法_ 養成講座には行かない！最短で合格！費用2万円以下でできる！,5457,1296,714,173,283,507
133,3ヶ月で君の人生を変えられるなら今から本気で稼いでみないか_ 本気で、生きろ。本気で、稼げ。,6899,1126,648,187,289,470
134,3ヶ月で突破 TOEIC(R) L&Rテスト900点! 5つの戦略 翻訳のプロが伝授するシリーズ,6731,1400,763,204,318,536
135,3日間で驚くほど心が晴れる本 悩みや迷いが消える「聞思修」の教え,21677,3874,1531,440,717,1164
136,3時間で頭が論理的になる本 (PHP文庫),16279,2464,1158,348,523,865
137,3男1女東大理III合格！ 教えて！佐藤ママ 18歳までに親がやるべきこと,27294,3169,1263,471,645,965
138,3秒でハッピーになる名言セラピー 恋愛編【増補新版】,22192,2861,1226,358,554,886
139,400 words diaries,49293,4460,1595,639,903,1296
140,40万で処女を売ったＡ子 イマドキ愛人事情 impress QuickBooks,7260,1596,895,170,298,610
141,40代　あなたが今やるべきこと (中経の文庫),27166,4355,1441,531,780,1144
142,40代からお金持ちになる不動産投資術 (スマートブックス),7009,1183,721,180,291,520
143,40巻　空海 アマーリエスピリチュアルメッセージ集,17087,2560,1186,365,550,896
144,40歳からは食べ方を変えなさい！＋一生、医者いらずの食べ方【編集版】,6674,1633,923,209,381,677
145,41巻　ポセイドン アマーリエ　スピリチュアルメッセージ集,9834,1946,984,251,403,720
146,42巻　ゼウス アマーリエ　スピリチュアルメッセージ集,14945,2328,1101,330,506,800
147,43巻　ヘラ アマーリエ　スピリチュアルメッセージ集,8088,1596,836,222,338,610
148,440 Days in KDP_ 実体験に基づいた電子書籍マーケティング,8363,2313,1054,225,395,709
149,44巻　ヘルメス アマーリエ　スピリチュアルメッセージ集,11456,2000,1014,302,446,749
150,4590社の競合がいる横浜地域No1を獲得した不動産営業術_ 秘密はたった２００部だけ配った不動産セールスレターにありました、、、,4643,1101,672,138,243,453
151,45巻　アポロン アマーリエ　スピリチュアルメッセージ集,13897,2169,1036,341,483,777
152,46巻　高橋信次９ アマーリエ スピリチュアルメッセージ集,14923,2306,1089,315,495,813
153,47巻　アテナ アマーリエ　スピリチュアルメッセージ集,13228,2192,1080,319,494,806
154,48巻　高橋信次 10 アマーリエ　スピリチュアルメッセージ集,14134,2306,1089,312,484,789
155,49巻　中山みき アマーリエ　スピリチュアルメッセージ集,10601,1951,1008,278,438,739
156,50巻　エル・ランティ２ アマーリエ　スピリチュアルメッセージ集,12123,2024,1010,288,461,760
157,51巻　ヘレン・ケラー アマーリエ　スピリチュアル・メッセージ集,8461,1656,928,219,365,656
158,52巻　マイトレーヤー アマーリエ　スピリチュアルメッセージ集,15711,2279,1076,343,511,790
159,53巻　日向 アマーリエ　スピリチュアルメッセージ集,10692,1882,949,261,407,684
160,54巻　日向　質疑応答 アマーリエ　スピリチュアルメッセージ集,14457,2210,1049,331,494,776
161,55巻　小桜姫 アマーリエ　スピリチュアル・メッセージ集,13055,2026,989,312,460,728
162,5656！　Knights’ Strange Night (電撃文庫),37553,5411,1763,675,975,1401
163,56巻　日蓮聖人７ アマーリエ　スピリチュアルメッセージ集,14437,2243,1065,318,488,793
164,57巻　モーリャ　３ アマーリエ　スピリチュアルメッセージ集,14164,2228,1070,322,485,795
165,58巻　木花開耶媛 アマーリエ　スピリチュアルメッセージ集,11171,1931,1008,268,420,740
